File,Full form,Significance
Region_Casename.toc,Table of Contents file,This file carries headers of all result tables extracted by MESSAGE CAP utility.
Region_Casename.tab,Tabular format file,The MESSAGE CAP utility extracts results from the .sol file in the interim folder in a tabular format. This file is required to Get Results from SPLAT. Main reasons for empty .tab file could be that the .cin file is empty or could not be created appropriately.
